timestamp,http_method,endpoint,query_params_count,user_agent,authorization_present,ip_hash,content_length_bytes,num_fields,avg_field_length,failed_auth_attempts_last_10min,suspicious_patterns_detected,statusCode,duration_ms,responseSize,label_attack
2025-08-20T19:04:15.080Z,POST,/api/v1/book,0,python-requests/2.32.4,True,eff8e7ca506627fe15dda5e0e512fcaad70b6d520f37cc76597fdb4f2d83a1a3,72,3,9.333333333333334,1,"authorization_header_present,suspicious_quotes_or_escape",500,24.83,46,1
2025-08-20T19:04:15.115Z,GET,/api/v1/book,0,python-requests/2.32.4,True,eff8e7ca506627fe15dda5e0e512fcaad70b6d520f37cc76597fdb4f2d83a1a3,0,0,0.0,1,"authorization_header_present,suspicious_quotes_or_escape",200,26.17,14360,0
2025-08-20T19:04:15.177Z,POST,/api/v1/auth/signup,0,python-requests/2.32.4,False,eff8e7ca506627fe15dda5e0e512fcaad70b6d520f37cc76597fdb4f2d83a1a3,51,2,9.5,4,suspicious_quotes_or_escape,429,8.97,62,1
2025-08-20T19:04:15.208Z,POST,/api/v1/auth/signin,0,python-requests/2.32.4,False,eff8e7ca506627fe15dda5e0e512fcaad70b6d520f37cc76597fdb4f2d83a1a3,51,2,9.5,4,suspicious_quotes_or_escape,429,5.99,62,1
2025-08-20T19:04:15.230Z,POST,/api/v1/auth/signup,0,python-requests/2.32.4,False,eff8e7ca506627fe15dda5e0e512fcaad70b6d520f37cc76597fdb4f2d83a1a3,51,2,9.5,5,suspicious_quotes_or_escape,429,10.75,62,1
2025-08-20T19:04:15.263Z,POST,/api/v1/auth/signin,0,python-requests/2.32.4,False,eff8e7ca506627fe15dda5e0e512fcaad70b6d520f37cc76597fdb4f2d83a1a3,51,2,9.5,5,suspicious_quotes_or_escape,429,4.44,62,1
2025-08-20T19:04:15.278Z,POST,/api/v1/auth/signup,0,python-requests/2.32.4,False,eff8e7ca506627fe15dda5e0e512fcaad70b6d520f37cc76597fdb4f2d83a1a3,51,2,9.5,6,suspicious_quotes_or_escape,429,25.06,62,1
2025-08-20T19:04:15.333Z,POST,/api/v1/auth/signin,0,python-requests/2.32.4,False,eff8e7ca506627fe15dda5e0e512fcaad70b6d520f37cc76597fdb4f2d83a1a3,51,2,9.5,6,suspicious_quotes_or_escape,429,6.28,62,1
2025-08-20T19:04:15.361Z,POST,/api/v1/auth/signup,0,python-requests/2.32.4,False,eff8e7ca506627fe15dda5e0e512fcaad70b6d520f37cc76597fdb4f2d83a1a3,51,2,9.5,1,suspicious_quotes_or_escape,403,13.59,44,1
2025-08-20T19:04:15.380Z,POST,/api/v1/auth/signin,0,python-requests/2.32.4,False,eff8e7ca506627fe15dda5e0e512fcaad70b6d520f37cc76597fdb4f2d83a1a3,51,2,9.5,1,suspicious_quotes_or_escape,201,147.06,245,1
2025-08-20T19:04:15.533Z,POST,/api/v1/book,0,python-requests/2.32.4,True,eff8e7ca506627fe15dda5e0e512fcaad70b6d520f37cc76597fdb4f2d83a1a3,72,3,9.333333333333334,2,"authorization_header_present,suspicious_quotes_or_escape",500,16.34,46,1
2025-08-20T19:04:15.558Z,GET,/api/v1/book,0,python-requests/2.32.4,True,eff8e7ca506627fe15dda5e0e512fcaad70b6d520f37cc76597fdb4f2d83a1a3,0,0,0.0,2,"authorization_header_present,suspicious_quotes_or_escape",200,40.39,14360,0
2025-08-20T19:04:15.608Z,POST,/api/v1/auth/signup,0,python-requests/2.32.4,False,eff8e7ca506627fe15dda5e0e512fcaad70b6d520f37cc76597fdb4f2d83a1a3,51,2,9.5,2,suspicious_quotes_or_escape,403,23.66,44,1
2025-08-20T19:04:15.645Z,POST,/api/v1/auth/signin,0,python-requests/2.32.4,False,eff8e7ca506627fe15dda5e0e512fcaad70b6d520f37cc76597fdb4f2d83a1a3,51,2,9.5,2,suspicious_quotes_or_escape,201,128.45,245,1
2025-08-20T19:04:15.779Z,POST,/api/v1/book,0,python-requests/2.32.4,True,eff8e7ca506627fe15dda5e0e512fcaad70b6d520f37cc76597fdb4f2d83a1a3,72,3,9.333333333333334,3,"authorization_header_present,suspicious_quotes_or_escape",500,19.54,46,1
2025-08-20T19:04:15.805Z,GET,/api/v1/book,0,python-requests/2.32.4,True,eff8e7ca506627fe15dda5e0e512fcaad70b6d520f37cc76597fdb4f2d83a1a3,0,0,0.0,3,"authorization_header_present,suspicious_quotes_or_escape",200,37.45,14360,0
2025-08-20T19:04:15.856Z,POST,/api/v1/auth/signup,0,python-requests/2.32.4,False,eff8e7ca506627fe15dda5e0e512fcaad70b6d520f37cc76597fdb4f2d83a1a3,51,2,9.5,3,suspicious_quotes_or_escape,403,22.67,44,1
2025-08-20T19:04:15.889Z,POST,/api/v1/auth/signin,0,python-requests/2.32.4,False,eff8e7ca506627fe15dda5e0e512fcaad70b6d520f37cc76597fdb4f2d83a1a3,51,2,9.5,3,suspicious_quotes_or_escape,201,229.09,245,1
2025-08-20T19:04:16.126Z,POST,/api/v1/book,0,python-requests/2.32.4,True,eff8e7ca506627fe15dda5e0e512fcaad70b6d520f37cc76597fdb4f2d83a1a3,72,3,9.333333333333334,1,"authorization_header_present,suspicious_quotes_or_escape",500,33.73,46,1
